name,category,lowest_rate,plus_rate,pro_rate,signup_bonus,daily_checkin_bonus,checkin_mode,balance,url,invite_url,notes,usage_status,checked_at
Younb,收费站,0.149031,,,0.6,,无签到,,https://centerkrgame.shop/sign-up?aff=b72G,https://centerkrgame.shop/sign-up?aff=b72G,,,2026-09-20T09:02:41
brobro,收费站,0.15,0.15,0.2,2.0,,无签到,,https://api.brobro.vip/register?aff=SMXE,https://api.brobro.vip/register?aff=SMXE,不能用,,2026-09-20T09:02:41
天枢AI,公益站,0.15,0.15,0.2,5.0,,无签到,,https://www.kskys.com/sign-up?aff=nt8U,https://www.kskys.com/sign-up?aff=nt8U,,,2026-09-20T09:02:41
SuperAPI,收费站,0.15,0.15,0.24,1.0,不固定,手动,,https://superapi.buzz/sign-up?aff=38CE,https://superapi.buzz/sign-up?aff=38CE,,,2026-09-20T09:02:41
GPT88,收费站,0.15,0.15,0.28,,,无签到,,https://agent.gpt88.cc/register?aff=5YDAR8QF9FB8,https://agent.gpt88.cc/register?aff=5YDAR8QF9FB8,,,2026-09-20T09:02:41
Zenith AI,收费站,0.15,0.15,0.3,0.5,不固定,手动,,https://ai.daoyivip.com/sign-up?aff=cgh9,https://ai.daoyivip.com/sign-up?aff=cgh9,签到给太少,,2026-09-20T09:02:41
0DAI模型站,收费站,0.15,0.15,,0.1,,无签到,,https://ai.0d0d.cn/register?aff=CQNYQXD8JZC4,https://ai.0d0d.cn/register?aff=CQNYQXD8JZC4,,,2026-09-20T09:02:41
Aizzz,收费站,0.15,0.18,0.25,,,无签到,,https://api.aizzz.xyz/sign-up?aff=zoBu,https://api.aizzz.xyz/sign-up?aff=zoBu,,,2026-09-20T09:02:41
Mioufun,收费站,0.15,0.2,0.25,1.0,,无签到,,https://api.mioufun.top/sign-up?aff=bk2N,https://api.mioufun.top/sign-up?aff=bk2N,福利分组 0.08; plus 0.15; pro 0.3,,2026-09-20T09:02:41
Aisa GPT,收费站,0.15,,0.15,,,无签到,,,,30起充,,2026-09-20T09:02:41
Geili API,收费站,0.15,,0.15,,,无签到,,https://sub.geiliapi.com/register?aff=YZE4BPZVNSSG,https://sub.geiliapi.com/register?aff=YZE4BPZVNSSG,,,2026-09-20T09:02:41
斑马API,收费站,0.15,,0.15,,,无签到,,https://bmapi.020212.xyz/register?aff=BNGUWCJG4WPN,https://bmapi.020212.xyz/register?aff=BNGUWCJG4WPN,,,2026-09-20T09:02:41
RouterTeam,收费站,0.16,0.16,0.24,0.0,,无签到,,https://ai.router.team/register?invite=RNAER46A,https://ai.router.team/register?invite=RNAER46A,,,2026-09-20T09:02:41
Guyscode,收费站,0.16,0.16,0.25,,不固定,手动,,https://www.guyscode.com/register?aff=2CRQ2QLL3SXD,https://www.guyscode.com/register?aff=2CRQ2QLL3SXD,,,2026-09-20T09:02:41
RinkoAI,收费站,0.16,0.16,0.28,0.7,,无签到,,https://api.rinko.ai/sign-up?aff=KOAq,https://api.rinko.ai/sign-up?aff=KOAq,,,2026-09-20T09:02:41
Ksir的小饭锅,收费站,0.16,,,1.5,,无签到,,https://ksir.fun/sign-up?aff=2gqK,https://ksir.fun/sign-up?aff=2gqK,目前只有cc、gemini,,2026-09-20T09:02:41
Passion API,收费站,0.162,0.162,0.226,0.1,,无签到,,https://api.passionapi.com/register?aff=7V8FFA4TGT3F,https://api.passionapi.com/register?aff=7V8FFA4TGT3F,,,2026-09-20T09:02:41
CCVibe,收费站,0.166667,0.166667,0.416667,0.04,,无签到,,https://cc-vibe.com/register?aff=SY98PA6ZJ6VZ,https://cc-vibe.com/register?aff=SY98PA6ZJ6VZ,,,2026-09-20T09:02:41
AIAIAI工具箱,收费站,0.17,0.17,0.25,10.0,0.1,手动,,https://api.aiaiai001.com/sign-up?aff=GSrs,https://api.aiaiai001.com/sign-up?aff=GSrs,,,2026-09-20T09:02:41
JOJO Code,收费站,0.17,0.17,0.28,,,无签到,,https://jojocode.com/sign-up?aff=wWKU,https://jojocode.com/sign-up?aff=wWKU,,,2026-09-20T09:02:41
草根AI,收费站,0.18,0.18,0.25,1.0,不固定,手动,,https://app.cgapi.top/sign-up?aff=uCjn,https://app.cgapi.top/sign-up?aff=uCjn,,,2026-09-20T09:02:41
MaiAI,收费站,0.18,0.18,0.6,1.0,,无签到,,https://mydamoxing.cn/register?aff=fiF7,https://mydamoxing.cn/register?aff=fiF7,国模,,2026-09-20T09:02:41
星链 AI,收费站,0.18,,0.18,,,无签到,,https://aixlau.me/register?aff=6VEKZPB3V3W2,https://aixlau.me/register?aff=6VEKZPB3V3W2,,,2026-09-20T09:02:41
漫小白,收费站,0.18,,0.18,,,无签到,,https://api.manxiaobai.online/register?aff=pnpQ,https://api.manxiaobai.online/register?aff=pnpQ,,,2026-09-20T09:02:41
量大管饱,收费站,0.18,,0.18,,,无签到,,https://www.ldgb.top/register?aff=LNDR7GQ7WQG2,https://www.ldgb.top/register?aff=LNDR7GQ7WQG2,福利分组,,2026-09-20T09:02:41
NexaRelay,收费站,0.2,0.2,0.3,3.0,,无签到,,https://api.nexarelay.com/register?aff=3W9KAZ47RYAG,https://api.nexarelay.com/register?aff=3W9KAZ47RYAG,,,2026-09-20T09:02:41
乾行,收费站,0.2,0.2,0.3,2.0,,无签到,,https://fast.qianxing.pro/sign-up?aff=18Qo,https://fast.qianxing.pro/sign-up?aff=18Qo,签到给太少,,2026-09-20T09:02:41
GMN,收费站,0.2,0.2,0.4,,,无签到,,,,十元起充,,2026-09-20T09:02:41
YKH.AI,收费站,0.2,0.2,0.5,,,无签到,,https://api.ykh.ai/sign-up?aff=Ikk2,https://api.ykh.ai/sign-up?aff=Ikk2,,,2026-09-20T09:02:41
登仙,公益站,0.2,0.2,0.5,,,无签到,,https://free.denxio.top/register?invite_code=GSFFPWPS7QXB,https://free.denxio.top/register?invite_code=GSFFPWPS7QXB,目前不能用,,2026-09-20T09:02:41
CottonAPI,收费站,0.2,0.2,,2.5,不固定,手动,,https://api.cottonapi.cloud/sign-up?aff=9Cvu,https://api.cottonapi.cloud/sign-up?aff=9Cvu,,,2026-09-20T09:02:41
连接AI,收费站,0.2,0.2,,0.1,,无签到,,https://lianjieai.top/register?aff=MVVDWX2FQQSF,https://lianjieai.top/register?aff=MVVDWX2FQQSF,,,2026-09-20T09:02:41
ApxRelay,收费站,0.2,,0.2,,,无签到,,https://apxrelay.com/register?aff=ULAN6B7RALLQ,https://apxrelay.com/register?aff=ULAN6B7RALLQ,10起充,,2026-09-20T09:02:41
HeHe API,收费站,0.2,,0.2,5.0,,无签到,,https://heheai.cc/sign-up?aff=Xx41,https://heheai.cc/sign-up?aff=Xx41,,,2026-09-20T09:02:41
PiteToken.hub,收费站,0.2,,0.2,2.0,,无签到,,https://www.piteai.com/sign-up?aff=WSnx,https://www.piteai.com/sign-up?aff=WSnx,,,2026-09-20T09:02:41
WanAPIs,收费站,0.2,,0.2,0.2,不固定,手动,,https://api.wanapis.com/sign-up?aff=6aQD,https://api.wanapis.com/sign-up?aff=6aQD,,,2026-09-20T09:02:41
Future Hub,公益站,0.2,,,,不固定,手动,,https://api.futureppo.top/register?aff=fK8K,https://api.futureppo.top/register?aff=fK8K,GitHub登录,,2026-09-20T09:02:41
Liminality,收费站,0.2,,,30.0,,无签到,,https://beizhi.sylu.cc/sign-up?aff=sSJg,https://beizhi.sylu.cc/sign-up?aff=sSJg,国模，签到给太少,,2026-09-20T09:02:41
rua.chat,收费站,0.2,,,,,无签到,,https://api.rua.chat/sign-up?aff=rDuC,https://api.rua.chat/sign-up?aff=rDuC,会清余额,,2026-09-20T09:02:41
乐享AI,收费站,0.2,,,3.0,,无签到,,https://lxai.pro/sign-up?aff=ddsD,https://lxai.pro/sign-up?aff=ddsD,邀请送2,,2026-09-20T09:02:41
Codex AI,收费站,0.24,0.24,0.31,,抽奖,手动,,https://eap.jindunlianghua.cn/register?aff=DY7NTAVP3MP4,https://eap.jindunlianghua.cn/register?aff=DY7NTAVP3MP4,,,2026-09-20T09:02:41
年华 API中转站,收费站,0.25,0.25,0.5,0.38,不固定,手动,,https://us-3.nianhuaapi.com/sign-up?aff=O0AA,https://us-3.nianhuaapi.com/sign-up?aff=O0AA,,,2026-09-20T09:02:41
词元站,收费站,0.25,0.25,,,,无签到,,https://ai.962831.xyz/sign-up?aff=Lqg0,https://ai.962831.xyz/sign-up?aff=Lqg0,签到给太少,,2026-09-20T09:02:41
AggAI,收费站,0.25,,0.25,3.0,,无签到,,https://www.wyy22.com/sign-up?aff=MgvW,https://www.wyy22.com/sign-up?aff=MgvW,,,2026-09-20T09:02:41
OfApp,收费站,0.25,,0.25,2.5,,无签到,,https://api.ofapp.cn/register?aff=JBB8EKDWE3EP,https://api.ofapp.cn/register?aff=JBB8EKDWE3EP,,,2026-09-20T09:02:41
Token能量站,收费站,0.25,,0.25,0.5,不固定,自动,,https://factory.pub/sign-up?aff=UohC,https://factory.pub/sign-up?aff=UohC,,,2026-09-20T09:02:41
DawCode,收费站,0.3,0.4,0.5,1.0,不固定,手动,,https://dawcode.ai/sign-up?aff=ISIK,https://dawcode.ai/sign-up?aff=ISIK,,,2026-09-20T09:02:41
ChooseC API,收费站,0.3,,0.3,3.0,,无签到,,https://api.choosec.cn/sign-up?aff=46fu,https://api.choosec.cn/sign-up?aff=46fu,,,2026-09-20T09:02:41
Nova AI,收费站,0.3,,0.3,1.0,不固定,手动,,https://once-cf.novai.su/sign-up?aff=InKN,https://once-cf.novai.su/sign-up?aff=InKN,,,2026-09-20T09:02:41
Token-X,收费站,0.3,,0.3,,,无签到,,https://token-x.com/sign-up?aff=EIbb,https://token-x.com/sign-up?aff=EIbb,,,2026-09-20T09:02:41
OurChat API,收费站,0.3,,,,,无签到,,https://ourchat.shop/register?aff=JbfA,https://ourchat.shop/register?aff=JbfA,签到给太少,,2026-09-20T09:02:41
Choose API,收费站,0.4,,,3.0,,无签到,,https://api.choosec.cn/sign-up?aff=46fu,https://api.choosec.cn/sign-up?aff=46fu,,,2026-09-20T09:02:41
cheap,收费站,0.437828,0.437828,,7.01,,无签到,,https://api.cheapcodex.online/register?aff=UMY5T7T95HFM,https://api.cheapcodex.online/register?aff=UMY5T7T95HFM,,,2026-09-20T09:02:41
分享奇点,公益站,0.5,,,30.0,,无签到,,https://fxqidian.de5.net/sign-up?aff=HQda,https://fxqidian.de5.net/sign-up?aff=HQda,GitHub登录，有签到,,2026-09-20T09:02:41
空悲切API,收费站,0.6,0.6,1.0,1.0,,无签到,,https://xn--vduyey89e.com/sign-up?aff=OTPU,https://xn--vduyey89e.com/sign-up?aff=OTPU,,,2026-09-20T09:02:41
DoCode,收费站,0.6,,,6.0,,无签到,,https://docode.cc/register?aff=s6fc,https://docode.cc/register?aff=s6fc,,,2026-09-20T09:02:41
简直了,公益站,0.6,,,,,无签到,,https://jianzhile.vip/register?aff=uCdS,https://jianzhile.vip/register?aff=uCdS,福利分组; GitHub登录，有签到,,2026-09-20T09:02:41
玄枢API,收费站,0.667,,,6.0,,无签到,,https://www.xuanshuapi.com/register?aff=8XPYPPC4KXBQ,https://www.xuanshuapi.com/register?aff=8XPYPPC4KXBQ,,,2026-09-20T09:02:41
异常芙芙,收费站,0.7,,,0.2,,无签到,,https://api2.kscsnkli.site/sign-up?aff=Nlzy,https://api2.kscsnkli.site/sign-up?aff=Nlzy,gpt+ds,,2026-09-20T09:02:41
AI-ROUTER,收费站,1.0,1.0,1.8,20.0,,无签到,,https://ai-router.dev/register?aff=KZJQK6RBLEUL,https://ai-router.dev/register?aff=KZJQK6RBLEUL,注册送20，其中5为体验余额，15充值后解锁；注册24小时后可签到,,2026-09-20T09:02:41
Free,公益站,1.0,1.0,,,200,自动,,https://free.lyclaude.site/register?aff=fI71,https://free.lyclaude.site/register?aff=fI71,,,2026-09-20T09:02:41
gorouter,公益站,1.0,1.0,,,,无签到,,https://gorouter.app/sign-up?aff=nl69,https://gorouter.app/sign-up?aff=nl69,,,2026-09-20T09:02:41
百倍,公益站,1.0,1.0,,,,无签到,,,,只有claude，签到没啥用了,,2026-09-20T09:02:41
C-API.CC,收费站,1.0,,1.0,,,无签到,,https://c-api.cc/register?aff=8HJW7L2K3EVX,https://c-api.cc/register?aff=8HJW7L2K3EVX,福利分组 0.15; pro 1; 十元起充,,2026-09-20T09:02:41
Agent Router,公益站,1.0,,,175.0,25,手动,,https://agentrouter.org/register?aff=G9T0,https://agentrouter.org/register?aff=G9T0,退出重登才能签到; GitHub登录,,2026-09-20T09:02:41
BigModel API,收费站,1.0,,,10.0,,无签到,,https://www.bigmodel.ltd/sign-up?aff=Rqpj,https://www.bigmodel.ltd/sign-up?aff=Rqpj,,,2026-09-20T09:02:41
Hiyo Free,收费站,1.0,,,20.0,,无签到,,https://free.hiyo.top/register?aff=N3JTWK2M6NW8,https://free.hiyo.top/register?aff=N3JTWK2M6NW8,luna,,2026-09-20T09:02:41
KKtoken AI,公益站,1.0,,,100.0,20,手动,,,,只有cc,,2026-09-20T09:02:41
SOTA Model,公益站,1.0,,,100.0,,无签到,,https://www.sotamodel.net/sign-up?aff=kOrm,https://www.sotamodel.net/sign-up?aff=kOrm,只有opus-5,,2026-09-20T09:02:41
StarBridge,收费站,1.0,,,20.0,不固定,手动,,https://api.careke.cn/sign-up?aff=AKzC,https://api.careke.cn/sign-up?aff=AKzC,,,2026-09-20T09:02:41
天才隐藏窝,公益站,1.0,,,200.0,,无签到,,https://api.sld.lol/sign-up?aff=h0Nq,https://api.sld.lol/sign-up?aff=h0Nq,国模,,2026-09-20T09:02:41
星期五API,收费站,1.0,,,7.0,不固定,手动,,https://api.fri5.top/sign-up?aff=sixb,https://api.fri5.top/sign-up?aff=sixb,,,2026-09-20T09:02:41
海獭AI,公益站,1.0,,,50.0,,无签到,,https://htai91.com/sign-up?aff=ravF,https://htai91.com/sign-up?aff=ravF,GitHub登录，有签到,,2026-09-20T09:02:41
熊猫API,公益站,1.0,,,200.0,,无签到,,https://api520.pro/register?aff=wtEc,https://api520.pro/register?aff=wtEc,邀请一个人100,,2026-09-20T09:02:41
猫猫,收费站,1.1,,,2000.0,,无签到,,https://api.maoyulin.xyz/register?aff=f10H,https://api.maoyulin.xyz/register?aff=f10H,GitHub登录，grok可用,,2026-09-20T09:02:41
CaMeL API,收费站,1.12,,,2.4,不固定,手动,,https://camel.kr777.top/register?aff=5qAa,https://camel.kr777.top/register?aff=5qAa,个人设置内签到,,2026-09-20T09:02:41
CHH,收费站,1.25,1.25,2.0,100.0,,无签到,,https://api.chhlink.xyz/register?aff=E2UNEUR6NMQZ,https://api.chhlink.xyz/register?aff=E2UNEUR6NMQZ,,,2026-09-20T09:02:41
CUN.ai,收费站,1.25,,,9.8,不固定,自动,,,,买了订阅,,2026-09-20T09:02:41
Codex Proxy,收费站,1.5,3.0,6.0,10.5,,无签到,,https://codex.miaomiaocode.com/login?invite=SHWV859E,https://codex.miaomiaocode.com/login?invite=SHWV859E,只能买订阅,,2026-09-20T09:02:41
1412‘s API,公益站,2.0,2.0,,92.0,不固定,手动,,https://napi.kid1412.qzz.io/sign-up?aff=9HQY,https://napi.kid1412.qzz.io/sign-up?aff=9HQY,有订阅无充值; GitHub登录,,2026-09-20T09:02:41
七倍算力公益站,公益站,2.0,,,105.0,20,自动,,https://7x.hk/sign-up?aff=bVdm,https://7x.hk/sign-up?aff=bVdm,福利分组,,2026-09-20T09:02:41
维云模型开放平台,公益站,2.0,,,0.45,,无签到,,https://vsllm.com/register?aff=p6Oj,https://vsllm.com/register?aff=p6Oj,claude-opus-4-6、ds、gemini,,2026-09-20T09:02:41
Grox,收费站,2.5,2.5,5.0,,,无签到,,https://www.mcgrox.top/register?aff=B3V56KYGP4J4,https://www.mcgrox.top/register?aff=B3V56KYGP4J4,邀请送100元日卡,,2026-09-20T09:02:41
应天AI-AI模型中转站调用平台,收费站,7.0,,,,,无签到,,https://ai.t1qq.com/sign-up?aff=QkH1,https://ai.t1qq.com/sign-up?aff=QkH1,10刀订阅至2026/9/16 19:11:51，签到给太少,,2026-09-20T09:02:41
ZE,公益站,8.0,,,,,无签到,,https://ai.kscsnkli.site/sign-up?aff=7gZ0,https://ai.kscsnkli.site/sign-up?aff=7gZ0,,,2026-09-20T09:02:41
99code,公益站,,,,40.0,,无签到,,https://gpt.api456.me/?aff=rBg5,https://gpt.api456.me/?aff=rBg5,每日50算力点，次日刷新，邀请一个人50,,2026-09-20T09:02:41
JustDoWork,公益站,,,,,不固定,手动,,https://api.justwoker.icu/sign-up?aff=hh4D,https://api.justwoker.icu/sign-up?aff=hh4D,只有claude,,2026-09-20T09:02:41
Kira AI,公益站,,,,,,无签到,,,,GLM 5.3、GLM 5.3 Flash 和 Qwen 3.8 Flash免费,,2026-09-20T09:02:41
NexusVAI API,收费站,,,,,,无签到,,,,免费GLM-5.2、Kimi K3、MiniMax M3、DeepSeek V4 Flash，20起充,,2026-09-20T09:02:41
Odyssey,收费站,,,,2.5,,无签到,,https://odysseyapi.tech/invite/55PPS3E8,https://odysseyapi.tech/invite/55PPS3E8,,,2026-09-20T09:02:41
Sir! This way!,收费站,,,,,,无签到,,https://sirthisway.icu/register?aff=DQ4592U75UU4,https://sirthisway.icu/register?aff=DQ4592U75UU4,grok-0.03,,2026-09-20T09:02:41
TokenBom,收费站,,,,,,无签到,,,,签到给太少,,2026-09-20T09:02:41
Tokeness,收费站,,,,0.252,,无签到,,https://tokeness.io/sign-up?aff=I361,https://tokeness.io/sign-up?aff=I361,GitHub登录，国模，签到给太少,,2026-09-20T09:02:41
Vyce AI,收费站,,,,,,无签到,,https://vyceai.com/signup?ref=VYCE_AP83EC,https://vyceai.com/signup?ref=VYCE_AP83EC,,,2026-09-20T09:02:41
Wxctf Ai,收费站,,,,3.0,,无签到,,https://ai.wxctf.com/sign-up?aff=xfxp,https://ai.wxctf.com/sign-up?aff=xfxp,国模,,2026-09-20T09:02:41
Yuki,收费站,,,,2.0,,无签到,,https://yukiapi.com/register?aff=oaBE,https://yukiapi.com/register?aff=oaBE,邀请送1,,2026-09-20T09:02:41
freemodel,公益站,,,,,,无签到,,https://freemodel.dev/invite/FRE-c8325e53,https://freemodel.dev/invite/FRE-c8325e53,5小时5，7天33,,2026-09-20T09:02:41
xKiro,收费站,,,,,,无签到,,https://xkiro.com/ref/JUP846G,https://xkiro.com/ref/JUP846G,36个国模免费用,,2026-09-20T09:02:41
全球最稳,公益站,,,,,,无签到,,https://free.sulmate.cn/sign-up?aff=eOXT,https://free.sulmate.cn/sign-up?aff=eOXT,,,2026-09-20T09:02:41
基元律动,公益站,,,,68.0,,无签到,,,,国模,,2026-09-20T09:02:41
孙哥,收费站,,,,,,无签到,,https://chat.b.ai/chat?invite_code=SDELGL,https://chat.b.ai/chat?invite_code=SDELGL,国模限时免费,,2026-09-20T09:02:41
小学生公益站,公益站,,,,50.0,,无签到,,https://xxs.l.cd/sign-up?aff=paEU,https://xxs.l.cd/sign-up?aff=paEU,国模+生图,,2026-09-20T09:02:41
慧慧云,收费站,,,,,,无签到,,https://api.huihuiyun.top/register?aff=BBQCL2ZQDZUM,https://api.huihuiyun.top/register?aff=BBQCL2ZQDZUM,有ds日卡,,2026-09-20T09:02:41
林夕,公益站,,,,,,无签到,,,,签到没啥用,,2026-09-20T09:02:41
